title_arxiv,title_sch,id_arxiv,id_sch,date_arxiv,date_sch,authors_arxiv
Bayesian Optimization-based Combinatorial Assignment,Bayesian Optimization-based Combinatorial Assignment,2208.14698v5,1ec31c7e532b18a5c1724a34689baba35e050c0e,2022-08-31,2022-08-31,"Jakob Weissteiner, Jakob Heiss, Julien Siems, Sven Seuken"
Continual Learning with Scaled Gradient Projection,Continual Learning with Scaled Gradient Projection,2302.01386v1,8023869b534ae182e3e7d5df25690a062106912d,2023-02-02,2023-02-02,"Gobinda Saha, Kaushik Roy"
ScatterFormer: Locally-Invariant Scattering Transformer for Patient-Independent Multispectral Detection of Epileptiform Discharges,ScatterFormer: Locally-Invariant Scattering Transformer for Patient-Independent Multispectral Detection of Epileptiform Discharges,2304.14919v1,7fa2d8608e03c22ee025a27c7d6f81cc872735c6,2023-04-26,2023-04-26,"Ruizhe Zheng, Jun Li, Yi Wang, Tian Luo, Yuguo Yu"
Lifelong Learning for Neural powered Mixed Integer Programming,Lifelong Learning for Neural powered Mixed Integer Programming,2208.12226v3,d887fbfb12e9df62200453f7a6ad8d7a12775ea2,2022-08-24,,"Sahil Manchanda, Sayan Ranu"
Out-Of-Distribution Detection Is Not All You Need,Out-Of-Distribution Detection Is Not All You Need,2211.16158v2,2fdf63af2c04ac613b2acaf628d4a5dc60e84c8e,2022-11-29,2022-11-29,"Joris Guérin, Kevin Delmas, Raul Sena Ferreira, Jérémie Guiochet"
Training Robust Deep Models for Time-Series Domain: Novel Algorithms and Theoretical Analysis,Training Robust Deep Models for Time-Series Domain: Novel Algorithms and Theoretical Analysis,2207.04305v2,2e1861457a87d185b14bdc7d194ed2ad4d36088a,2022-07-09,2022-06-28,"Taha Belkhouja, Yan Yan, Janardhan Rao Doppa"
GuidedMixup: An Efficient Mixup Strategy Guided by Saliency Maps,GuidedMixup: An Efficient Mixup Strategy Guided by Saliency Maps,2306.16612v1,8ddb147c006cdeae6cd38f458e9c7c337d5b0965,2023-06-29,2023-06-26,"Minsoo Kang, Suhyun Kim"
Learning Topology-Specific Experts for Molecular Property Prediction,Learning Topology-Specific Experts for Molecular Property Prediction,2302.13693v3,1604c2854370b9c6c9558b360c566f058ef33e7f,2023-02-27,2023-02-27,"Su Kim, Dongha Lee, SeongKu Kang, Seonghyeon Lee, Hwanjo Yu"
QUILT: Effective Multi-Class Classification on Quantum Computers Using an Ensemble of Diverse Quantum Classifiers,QUILT: Effective Multi-Class Classification on Quantum Computers Using an Ensemble of Diverse Quantum Classifiers,2309.15056v1,ea44927c57909af47d5680ff2af256d8f8597ce8,2023-09-26,2022-06-28,"Daniel Silver, Tirthak Patel, Devesh Tiwari"
Solving Disjunctive Temporal Networks with Uncertainty under Restricted Time-Based Controllability using Tree Search and Graph Neural Networks,Solving Disjunctive Temporal Networks with Uncertainty under Restricted Time-Based Controllability using Tree Search and Graph Neural Networks,2203.15030v2,4fda71d3c53f1dea835ae181921bcf259de59ebb,2022-03-28,2022-03-28,"Kevin Osanlou, Jeremy Frank, Andrei Bursuc, Tristan Cazenave, Eric Jacopin, Christophe Guettier, J. Benton"
Misspecification in Inverse Reinforcement Learning,Misspecification in Inverse Reinforcement Learning,2212.03201v2,aae382fe95b061018f214b1f101c55b6f4ae176b,2022-12-06,2022-12-06,"Joar Skalse, Alessandro Abate"
Query-based Hard-Image Retrieval for Object Detection at Test Time,Query-based Hard-Image Retrieval for Object Detection at Test Time,2209.11559v2,2a51f94fe7750a010f2e86e2936eca3cbde51796,2022-09-23,2022-09-23,"Edward Ayers, Jonathan Sadeghi, John Redford, Romain Mueller, Puneet K. Dokania"
TIGGER: Scalable Generative Modelling for Temporal Interaction Graphs,TIGGER: Scalable Generative Modelling for Temporal Interaction Graphs,2203.03564v2,03492c9764cadf512726d922de7d337ed9ef54fb,2022-03-07,2022-03-07,"Shubham Gupta, Sahil Manchanda, Srikanta Bedathur, Sayan Ranu"
Feedback Gradient Descent: Efficient and Stable Optimization with Orthogonality for DNNs,Feedback Gradient Descent: Efficient and Stable Optimization with Orthogonality for DNNs,2205.08385v1,f58d73b7321f0d8ab0072a9f437607bc217975a7,2022-05-12,2022-05-12,"Fanchen Bu, Dong Eui Chang"
"Hypergraph Modeling via Spectral Embedding Connection: Hypergraph Cut, Weighted Kernel $k$-means, and Heat Kernel","Hypergraph Modeling via Spectral Embedding Connection: Hypergraph Cut, Weighted Kernel k-means, and Heat Kernel",2203.09888v3,46315c539361a20f750a329469f830df99e77ded,2022-03-18,2022-03-18,Shota Saito
DHGE: Dual-View Hyper-Relational Knowledge Graph Embedding for Link Prediction and Entity Typing,DHGE: Dual-view Hyper-Relational Knowledge Graph Embedding for Link Prediction and Entity Typing,2207.08562v4,dc26b544e5bbdd149d6e52ab6e3fe155684829a2,2022-07-18,2022-07-18,"Haoran Luo, Haihong E, Ling Tan, Gengxian Zhou, Tianyu Yao, Kaiyang Wan"
NaturalInversion: Data-Free Image Synthesis Improving Real-World Consistency,NaturalInversion: Data-Free Image Synthesis Improving Real-World Consistency,2306.16661v1,6b1ac12dde02e4894c08fa7f4c340bd4911dc979,2023-06-29,2022-06-28,"Yujin Kim, Dogyun Park, Dohee Kim, Suhyun Kim"
AutoCost: Evolving Intrinsic Cost for Zero-violation Reinforcement Learning,AutoCost: Evolving Intrinsic Cost for Zero-violation Reinforcement Learning,2301.10339v1,b65e9e7f500437a01848ac6fde6692e6b241de85,2023-01-24,2023-01-24,"Tairan He, Weiye Zhao, Changliu Liu"
Enhancing the Antidote: Improved Pointwise Certifications against Poisoning Attacks,Enhancing the Antidote: Improved Pointwise Certifications against Poisoning Attacks,2308.07553v1,5251da262f05511dfcd48e527ddf2d781e1c33a5,2023-08-15,2023-06-26,"Shijie Liu, Andrew C. Cullen, Paul Montague, Sarah M. Erfani, Benjamin I. P. Rubinstein"
SLOTH: Structured Learning and Task-based Optimization for Time Series Forecasting on Hierarchies,SLOTH: Structured Learning and Task-based Optimization for Time Series Forecasting on Hierarchies,2302.05650v2,6b180f97412efe688d335f409a6589c1de6675a5,2023-02-11,2023-02-11,"Fan Zhou, Chen Pan, Lintao Ma, Yu Liu, Shiyu Wang, James Zhang, Xinxin Zhu, Xuanwei Hu, Yunhua Hu, Yangfei Zheng, Lei Lei, Yun Hu"
Reinforcement Learning for Branch-and-Bound Optimisation using Retrospective Trajectories,Reinforcement Learning for Branch-and-Bound Optimisation using Retrospective Trajectories,2205.14345v3,3212c957a11a46d059e981826372914045f5cc4a,2022-05-28,2022-05-28,"Christopher W. F. Parsonson, Alexandre Laterre, Thomas D. Barrett"
