Conference,Paper,paperId,title
AAAI,Bayesian Optimization-based Combinatorial Assignment,6e919c88a3aad34e1a852994bde29f7b672fb837,Machine Learning-powered Course Allocation
AAAI,Bayesian Optimization-based Combinatorial Assignment,cf2c021c3b32f76d2193f36895444d98f6d77398,Constrained Discrete Black-Box Optimization using Mixed-Integer Programming
AAAI,Bayesian Optimization-based Combinatorial Assignment,220b75e413cdd9abcb9a4a81b005d7239e4343f4,Monotone-Value Neural Networks: Exploiting Preference Monotonicity in Combinatorial Assignment
AAAI,Bayesian Optimization-based Combinatorial Assignment,0649119bd08f28138723f6f32b71e2c00f3e5a74,NOMU: Neural Optimization-based Model Uncertainty
AAAI,Bayesian Optimization-based Combinatorial Assignment,54e769481b91c1943d705d3a18400f61147d052d,Fourier Analysis-based Iterative Combinatorial Auctions
AAAI,Bayesian Optimization-based Combinatorial Assignment,52bac2108400df6abbd729b1477b5e1d5aacf019,Hyperparameter Ensembles for Robustness and Uncertainty Quantification
AAAI,Bayesian Optimization-based Combinatorial Assignment,8f7b982aeb4bd6166fdbf6e5260c903e2e90b3f7,Benchmarking the Neural Linear Model for Regression
AAAI,Bayesian Optimization-based Combinatorial Assignment,2be05cd62bc6714f671305ab796e2b74784cda54,Greed Is Good: Exploration and Exploitation Trade-offs in Bayesian Optimisation
AAAI,Bayesian Optimization-based Combinatorial Assignment,f12a5c8755083c52c50823608592e0134c68587b,Machine Learning-powered Iterative Combinatorial Auctions
AAAI,Bayesian Optimization-based Combinatorial Assignment,db052418e83871df2c3bd58a075969d369ea8171,Deep Learning-powered Iterative Combinatorial Auctions
AAAI,Bayesian Optimization-based Combinatorial Assignment,430259f263179e37b5ec3cd78a3cfedbed53d6e3,Designing combinatorial exchanges for the reallocation of resource rights
AAAI,Bayesian Optimization-based Combinatorial Assignment,c27078d60737ea10e8ca4f05acd114fef29c8276,A Tutorial on Bayesian Optimization
AAAI,Bayesian Optimization-based Combinatorial Assignment,164e42e25d2c41e33d25f9d19b301c82ed863bd5,Combinatorial Auctions via Machine Learning-based Preference Elicitation
AAAI,Bayesian Optimization-based Combinatorial Assignment,6f55f2234a002c69001df8ef9108cb86f1dfa506,Accurate Uncertainties for Deep Learning Using Calibrated Regression
AAAI,Bayesian Optimization-based Combinatorial Assignment,ce28848cb8e8f95d110be542272c5a9380087917,A Practical Guide to the Combinatorial Clock Auction
AAAI,Bayesian Optimization-based Combinatorial Assignment,102f5658d3f1699de24b4b8dccda77d9a591a224,SATS: A Universal Spectrum Auction Test Suite
AAAI,Bayesian Optimization-based Combinatorial Assignment,5f2060ad5ba828288c9daa13f3bbaf0a6ac0e6f6,Multi-fidelity Bayesian Optimisation with Continuous Approximations
AAAI,Bayesian Optimization-based Combinatorial Assignment,802168a81571dde28f5ddb94d84677bc007afa7b,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles
AAAI,Bayesian Optimization-based Combinatorial Assignment,f35de4f9b1a7c4d3fa96a0d2ab1bf8937671f6b6,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning
AAAI,Bayesian Optimization-based Combinatorial Assignment,da6057368920585bcf2443295b98418840f1fc80,Weight Uncertainty in Neural Networks
AAAI,Bayesian Optimization-based Combinatorial Assignment,7e17a3c231dc37d162b9ad74043afc1cee4ee2dd,Probabilistic Backpropagation for Scalable Learning of Bayesian Neural Networks
AAAI,Bayesian Optimization-based Combinatorial Assignment,9c483b0a754e591699fbf4f5e07532a59a36b95a,On the impact of package selection in combinatorial auctions: an experimental study in the context of spectrum auction design
AAAI,Bayesian Optimization-based Combinatorial Assignment,188e247506ad992b8bc62d6c74789e89891a984f,Random Search for Hyper-Parameter Optimization
AAAI,Bayesian Optimization-based Combinatorial Assignment,ab867c140d2947511979c87e7ae580d9d3f0aeab,An Empirical Evaluation of Thompson Sampling
AAAI,Bayesian Optimization-based Combinatorial Assignment,5a9ef216bf11f222438fff130c778267d39a9564,Practical Variational Inference for Neural Networks
AAAI,Bayesian Optimization-based Combinatorial Assignment,86e7916e26b3a5ce5b1572d09f3fb1b5bd125914,Gaussian Process Preference Elicitation
AAAI,Bayesian Optimization-based Combinatorial Assignment,0984f67849818e4182ea14cb112b6b611fed08f0,Hierarchical package bidding: A paper & pencil combinatorial auction
AAAI,Bayesian Optimization-based Combinatorial Assignment,f70f810b4fcc0e0a2358d2cbafac958c8ed61ab1,The Combinatorial Assignment Problem: Approximate Competitive Equilibrium from Equal Incomes
AAAI,Bayesian Optimization-based Combinatorial Assignment,0c8413ab8de0c1b8f2e86402b8d737d94371610f,Information-Theoretic Regret Bounds for Gaussian Process Optimization in the Bandit Setting
AAAI,Bayesian Optimization-based Combinatorial Assignment,531a7252adddd2784e712fdc456982f040d2d02c,Spectrum Auction Design
AAAI,Bayesian Optimization-based Combinatorial Assignment,a49642da2e205a33d1370e749543521ce67f0fc3,The communication requirements of efficient allocations and supporting prices
AAAI,Bayesian Optimization-based Combinatorial Assignment,8607e42570a164ff461d2836a73b68f373a1b0c6,The Clock-Proxy Auction: A Practical Combinatorial Auction Design
AAAI,Bayesian Optimization-based Combinatorial Assignment,f8955c63bc2a23608f3131fcbc4fd45c53b164af,Preference elicitation in combinatorial auctions
AAAI,Bayesian Optimization-based Combinatorial Assignment,7daf0d97472146ed6043f7dbcf9e95c40216a184,Auction Design for Wind Rights
AAAI,Bayesian Optimization-based Combinatorial Assignment,,"In the case of Heiss et al. (2022), without these connections, the uncertainty would be completely independent from the mean prediction (or from the labels y train )"
AAAI,Bayesian Optimization-based Combinatorial Assignment,,lation to regularization 15 leads M uUB i ≈ M 100%-uUB i . In practice
AAAI,Bayesian Optimization-based Combinatorial Assignment,,enforces that M uUB i (cid:20) M 100%-uUB i
AAAI,Bayesian Optimization-based Combinatorial Assignment,,(9d) enforces M uUB i ≥ M mean i . The interpretation of π and π exp c
AAAI,Bayesian Optimization-based Combinatorial Assignment,,We present a more succinct mixed integer linear program for MVNNs to solve the ML-based WDP (Section 3.3)
AAAI,Bayesian Optimization-based Combinatorial Assignment,,2023. Bayesian Optimization-based Combinatorial Assignment
AAAI,Bayesian Optimization-based Combinatorial Assignment,,initialization for MVNNs and propose a more robust method (Section 3.2).
AAAI,Bayesian Optimization-based Combinatorial Assignment,,(35d) enforces M uUB i ≥ M mean i
AAAI,Bayesian Optimization-based Combinatorial Assignment,,We show that generic parameter initialization for monotone NNs can dramatically fail and propose a new initialization method for MVNNs based on uniform mixture distributions (Section 3.2)
AAAI,Continual Learning with Scaled Gradient Projection,6abfc9fc3716efc58843ac02aafb39e403426df2,Adaptive Orthogonal Projection for Batch and Online Continual Learning
AAAI,Continual Learning with Scaled Gradient Projection,b895a5c79406c8db2807e78b00fdeadc80e5a774,TRGP: Trust Region Gradient Projection for Continual Learning
AAAI,Continual Learning with Scaled Gradient Projection,f034a62c46bc9196022f45dba53ce555ac03951c,Flattening Sharpness for Dynamic Gradient Projection Memory Benefits Continual Learning
AAAI,Continual Learning with Scaled Gradient Projection,5b0f3feb975fe235c282e73abe0f5d656d2501af,Saliency Guided Experience Packing for Replay in Continual Learning
AAAI,Continual Learning with Scaled Gradient Projection,21f2d76d64126567a09af4e3db05e1f17a978be0,"Natural continual learning: success is a journey, not (just) a destination"
AAAI,Continual Learning with Scaled Gradient Projection,a6940935385cd8feeadf979e36dde37af499ca0c,Continual Learning via Bit-Level Information Preserving
AAAI,Continual Learning with Scaled Gradient Projection,dd41d2d8fd2d3ea2c6ec74d07b456db942bfa8de,Gradient Projection Memory for Continual Learning
AAAI,Continual Learning with Scaled Gradient Projection,ea5f7e806d870f237d9556d37a307ef0d9905ac7,Training Networks in Null Space of Feature Covariance for Continual Learning
AAAI,Continual Learning with Scaled Gradient Projection,56912f12c35af9579999b45fe6ab7d5b9f090df6,Efficient Continual Learning with Modular Networks and Task-Driven Priors
AAAI,Continual Learning with Scaled Gradient Projection,34b6871b40d3389f1d5c2a89fc75664d8619490c,Embracing Change: Continual Learning in Deep Neural Networks
AAAI,Continual Learning with Scaled Gradient Projection,a699899e9a34deab3a511b8af0dc72ea5c776759,La-MAML: Look-ahead Meta Learning for Continual Learning
AAAI,Continual Learning with Scaled Gradient Projection,7f90032f9d9a886b8f256ca97039946e4ee7efbb,"Dark Experience for General Continual Learning: a Strong, Simple Baseline"
