,Unnamed: 0,Paper,Conference,Citation Number,Authors,Number of Authors,Title,Publication Year,Publication Venue,Id,Title_sch,Venue_sch,Publication Venue_sch,Publication Year_sch,Authors_sch,Number Authors_sch,Citation Count_sch,Influential Citation Count_sch,Reference Count_sch,Open Access_sch,Field of Study_sch,Field of Study s2_sch,In Paper,In Intro,Not Found,Score title,Score author,Exists,identifier,Title Length,Title Length_sch,Publication Venue_processed,Venue_sch_processed,strategy,Unique,order,title_arxiv,original_id,jaccard_coeff,description,in_degree_pred,out_degree_pred,in_degree,out_degree,edges_with_introduction_references,Citation Count_log,Reference Count_log
0,0,Bayesian Optimization-based Combinatorial Assignment,AAAI,1,Bureau of Ocean Energy Management,1.0,Offshore Wind Energy Leasing and Auctions,,U.S. Department of the Interior,,,,,,,,,,,,,,,,,78.0,26.0,0.0,Bayesian Optimization-based Combinatorial Assignment1,41.0,,U.S. Department of the Interior,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment1vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
1,1,Bayesian Optimization-based Combinatorial Assignment,AAAI,2,Federal Communications Commission,1.0,Annual Report on Spectrum Auction Revenues,2020.0,,,,,,,,,,,,,,,,,,54.0,27.0,0.0,Bayesian Optimization-based Combinatorial Assignment2,42.0,,,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment2vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
2,2,Bayesian Optimization-based Combinatorial Assignment,AAAI,3,"Ausubel, L., Milgrom, P.",2.0,Combinatorial Clock Auctions: A Survey,2017.0,Journal of Economic Literature,,,,,,,,,,,,,,,,,66.0,17.0,0.0,Bayesian Optimization-based Combinatorial Assignment3,38.0,,Journal of Economic Literature,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment3vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
3,3,Bayesian Optimization-based Combinatorial Assignment,AAAI,4,National Oceanic and Atmospheric Administration Fisheries,1.0,Catch Shares Management,,,,,,,,,,,,,,,,,,,100.0,26.0,0.0,Bayesian Optimization-based Combinatorial Assignment4,23.0,,,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment4vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
4,4,Bayesian Optimization-based Combinatorial Assignment,AAAI,5,"Gal, Y., Islam, R., Ghahramani, Z.",3.0,Deep Bayesian Active Learning with Image Data,2017.0,International Conference on Machine Learning,da5c65b0ac8b525c3d3d4889bf44d8a48d254a07,Deep Bayesian Active Learning with Image Data,International Conference on Machine Learning,International Conference on Machine Learning,2017.0,"Y. Gal, Riashat Islam, Zoubin Ghahramani",3.0,1332.0,198.0,43.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,92.0,1.0,Bayesian Optimization-based Combinatorial Assignment5,45.0,45.0,ICML,ICML,vanilla_1,0,Bayesian Optimization-based Combinatorial Assignment5vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,0.08333333333333333,non-isolated,,,,,,1332.1,43.1
5,5,Bayesian Optimization-based Combinatorial Assignment,AAAI,6,"Zinkevich, M., Blumrosen, L.",2.0,Preference Elicitation in Combinatorial Auctions,2005.0,Proc. ACM Conference on Electronic Commerce,,,,,,,,,,,,,,,,,100.0,34.0,0.0,Bayesian Optimization-based Combinatorial Assignment6,48.0,,Proc. ACM Conference on Electronic Commerce,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment6vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
6,6,Bayesian Optimization-based Combinatorial Assignment,AAAI,7,"Marivate, V.N., Littman, M.L.",2.0,Support Vector Regression for Preference Learning in Combinatorial Auctions,2011.0,Journal of Machine Learning Research,,,,,,,,,,,,,,,,,77.0,26.0,0.0,Bayesian Optimization-based Combinatorial Assignment7,75.0,,JMLR,,vanilla_1,0,Bayesian Optimization-based Combinatorial Assignment7vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
7,7,Bayesian Optimization-based Combinatorial Assignment,AAAI,8,"Daskalakis, C., Deckelbaum, A., Tessler, A.",3.0,ML-driven Preference Elicitation in Iterative Combinatorial Auctions,2019.0,Proc. Conference on Uncertainty in Artificial Intelligence,,,,,,,,,,,,,,,,,67.0,39.0,0.0,Bayesian Optimization-based Combinatorial Assignment8,68.0,,Proc. Conference on Uncertainty in Artificial Intelligence,,vanilla_1,0,Bayesian Optimization-based Combinatorial Assignment8vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
8,8,Bayesian Optimization-based Combinatorial Assignment,AAAI,9,"Sönmez, T., Ünver, M.U.",2.0,Course Allocation at Business Schools,2010.0,Operations Research,,,,,,,,,,,,,,,,,82.0,53.0,0.0,Bayesian Optimization-based Combinatorial Assignment9,37.0,,Operations Research,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment9vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
9,9,Bayesian Optimization-based Combinatorial Assignment,AAAI,10,"Binmore, K., Klemperer, P.",2.0,The 'Right' and 'Wrong' Kinds of Auction: not all Auction Formats are Equal,2008.0,McKinsey Quarterly,,,,,,,,,,,,,,0.0,0.0,1.0,,,0.0,Bayesian Optimization-based Combinatorial Assignment10,75.0,,McKinsey Quarterly,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment10vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
10,10,Bayesian Optimization-based Combinatorial Assignment,AAAI,11,"Guo, C., Pleiss, G., Sun, Y., Weinberger, K.Q.",4.0,Understanding Measures of Uncertainty for Adversarial Example Detection,2018.0,Proc. Computer Vision and Pattern Recognition,,,,,,,,,,,,,,,,,100.0,42.0,0.0,Bayesian Optimization-based Combinatorial Assignment11,71.0,,CVPR,,vanilla_1,0,Bayesian Optimization-based Combinatorial Assignment11vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
11,11,Bayesian Optimization-based Combinatorial Assignment,AAAI,12,"Zhang, C., Bengio, S., Hardt, M., Recht, B., Vinyals, O.",5.0,Understanding deep learning requires rethinking generalization,2017.0,International Conference on Learning Representations,54ddb00fa691728944fd8becea90a373d21597cf,Understanding deep learning requires rethinking generalization,International Conference on Learning Representations,International Conference on Learning Representations,2016.0,"Chiyuan Zhang, Samy Bengio, Moritz Hardt, B. Recht, Oriol Vinyals",5.0,4194.0,346.0,34.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,89.0,1.0,Bayesian Optimization-based Combinatorial Assignment12,62.0,62.0,ICLR,ICLR,vanilla_1,0,Bayesian Optimization-based Combinatorial Assignment12vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,isolated,,,,,,4194.1,34.1
12,12,Bayesian Optimization-based Combinatorial Assignment,AAAI,13,"Moriconi, R., Gal, Y., Kar, M.",3.0,Neural Optimization-Based Model Uncertainty,2021.0,International Conf. Learning Representations,,,,,,,,,,,,,,,,,100.0,27.0,0.0,Bayesian Optimization-based Combinatorial Assignment13,43.0,,International Conf. Learning Representations,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment13vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
13,13,Bayesian Optimization-based Combinatorial Assignment,AAAI,14,"Blum, A.",1.0,A Complexity-Theoretic Perspective on BNNs,2018.0,Proc. Conference on Learning Theory,,,,,,,,,,,,,,,,,33.0,17.0,0.0,Bayesian Optimization-based Combinatorial Assignment14,42.0,,Proc. Conference on Learning Theory,,vanilla_1,0,Bayesian Optimization-based Combinatorial Assignment14vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
14,14,Bayesian Optimization-based Combinatorial Assignment,AAAI,15,"Deisenroth, M.P., Frazier, P.I.",2.0,Bayesian Optimisation with Continuous Approximations,2018.0,Proc. International Conference on Machine Learning,,,,,,,,,,,,,,,,,100.0,17.0,0.0,Bayesian Optimization-based Combinatorial Assignment15,52.0,,ICML,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment15vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
15,15,Bayesian Optimization-based Combinatorial Assignment,AAAI,16,"Fort, S., Hu, H., Lakshminarayanan, B.",3.0,Deep Ensembles: A Loss Landscape Perspective,2020.0,International Conference on Learning Representations,6ddf83bee5ca7a0542964e389a98adc1ed4a6838,Deep Ensembles: A Loss Landscape Perspective,arXiv.org,arXiv.org,2019.0,"Stanislav Fort, Huiyi Hu, Balaji Lakshminarayanan",3.0,434.0,43.0,36.0,False,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,89.0,1.0,Bayesian Optimization-based Combinatorial Assignment16,44.0,44.0,ICLR,arxiv,vanilla_1,0,Bayesian Optimization-based Combinatorial Assignment16vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,0.2608695652173913,non-isolated,,,,,,434.1,36.1
16,16,Bayesian Optimization-based Combinatorial Assignment,AAAI,17,"Parkes, D.C., Shneyerov, A.",2.0,The Complexity of Iterative Combinatorial Auctions,2009.0,Economic Theory,,,,,,,,,,,,,,,,,74.0,31.0,0.0,Bayesian Optimization-based Combinatorial Assignment17,50.0,,Economic Theory,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment17vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
