Paper,Conference,Citation Number,Authors,Number of Authors,Title,Publication Year,Publication Venue,Id,Title_sch,Venue_sch,Publication Venue_sch,Publication Year_sch,Authors_sch,Number Authors_sch,Citation Count_sch,Influential Citation Count_sch,Reference Count_sch,Open Access_sch,Field of Study_sch,Field of Study s2_sch,In Paper,In Intro,Not Found,Score title,Score author,Exists,identifier,Title Length,Title Length_sch,Publication Venue_processed,Venue_sch_processed,strategy,Unique,order
Efficient Aggregated Kernel Tests using Incomplete $U$-statistics,NeurIPS,20,"Jitkrittum, W., Gretton, A., Borgwardt, K., Peebles, D., Al Efishat, M., & Szabó, Z.",6.0,Kernel-Based Just-In-Time Learning for Passing Expectation Propagation Messages,2019.0,Uncertainty in Artificial Intelligence (UAI),856d6317a884cb93ea35204dfbf041d20e98ec58,Kernel-Based Just-In-Time Learning for Passing Expectation Propagation Messages,Conference on Uncertainty in Artificial Intelligence,Conference on Uncertainty in Artificial Intelligence,2015.0,"Wittawat Jitkrittum, A. Gretton, N. Heess, S. Eslami, Balaji Lakshminarayanan, D. Sejdinovic, Z. Szabó",7.0,31.0,4.0,33.0,False,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,62.0,1.0,Efficient Aggregated Kernel Tests using Incomplete $U$-statistics20,79.0,79.0,Uncertainty in Artificial Intelligence (UAI),Conference on Uncertainty in Artificial Intelligence,vanilla_1,1,Efficient Aggregated Kernel Tests using Incomplete $U$-statistics20vanilla_1
Mirror Descent Maximizes Generalized Margin and Can Be Implemented Efficiently,NeurIPS,2,"Zhang, H., Mhammedi, Z., Durrant, R.J.",3.0,Convergence Analysis of Mirror Descent Methods,2018.0,Proceedings of the 35th International Conference on Machine Learning,,,,,,,,,,,,,,,,,63.0,39.0,0.0,Mirror Descent Maximizes Generalized Margin and Can Be Implemented Efficiently2,46.0,,ICML,,vanilla_1,0,Mirror Descent Maximizes Generalized Margin and Can Be Implemented Efficiently2vanilla_1
A Quadrature Rule combining Control Variates and Adaptive Importance Sampling,NeurIPS,16,"Shmueli, G.",1.0,Kernel-based importance sampling,2005.0,Proceedings of the American Statistical Association,,,,,,,,,,,,,,,,,84.0,20.0,0.0,A Quadrature Rule combining Control Variates and Adaptive Importance Sampling16,32.0,,Proceedings of the American Statistical Association,,vanilla_1,0,A Quadrature Rule combining Control Variates and Adaptive Importance Sampling16vanilla_1
Maximum Common Subgraph Guided Graph Retrieval: Late and Early Interaction Networks,NeurIPS,32,"Ling H., Jacobs, D.W.",2.0,Shape classification using the inner-distance,2007.0,IEEE Transactions on Pattern Analysis and Machine Intelligence,c9bb27a60b6c2555a4c01c4c0b8808f1e3625403,Shape Classification Using the Inner-Distance,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,2007.0,"Haibin Ling, D. Jacobs",2.0,1151.0,236.0,53.0,True,"['Mathematics', 'Medicine', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,87.0,1.0,Maximum Common Subgraph Guided Graph Retrieval: Late and Early Interaction Networks32,45.0,45.0,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,vanilla_1,0,Maximum Common Subgraph Guided Graph Retrieval: Late and Early Interaction Networks32vanilla_1
AdaNPC: Exploring Non-Parametric Classifier for Test-Time Adaptation,ICML,9,"Volpi, R., Morerio, P., Savarese, S., & Murino, V.",4.0,Adversarial Feature Augmentation for Unsupervised Domain Adaptation,2018.0,CVPR,42563d601d30bb74a15855ef912692e45c72340e,Adversarial Feature Augmentation for Unsupervised Domain Adaptation,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,2017.0,"Riccardo Volpi, Pietro Morerio, S. Savarese, Vittorio Murino",4.0,210.0,16.0,44.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,91.0,1.0,AdaNPC: Exploring Non-Parametric Classifier for Test-Time Adaptation9,67.0,67.0,CVPR,CVPR,vanilla_1,1,AdaNPC: Exploring Non-Parametric Classifier for Test-Time Adaptation9vanilla_1
Approximately Optimal Core Shapes for Tensor Decompositions,ICML,34,"Albrecht, S., & Rauhut, H.",2.0,Randomized algorithms for low-rank tensor completion,2018.0,Information and Inference: A Journal of the IMA,,,,,,,,,,,,,,,,,42.0,30.0,0.0,Approximately Optimal Core Shapes for Tensor Decompositions34,52.0,,Information and Inference: A Journal of the IMA,,vanilla_1,0,Approximately Optimal Core Shapes for Tensor Decompositions34vanilla_1
How to prepare your task head for finetuning,ICLR,6,"Nakkiran, P., Kaplun, G., Bansal, Y., Yang, T., Barak, B., Sutskever, I.",6.0,Deep double descent: Where bigger models and more data hurt,2020.0,arXiv preprint arXiv:1912.02292,ea415809bf87ef4b99966c6c50de6cb996a02a97,Deep double descent: where bigger models and more data hurt,International Conference on Learning Representations,International Conference on Learning Representations,2019.0,"Preetum Nakkiran, Gal Kaplun, Yamini Bansal, Tristan Yang, B. Barak, Ilya Sutskever",6.0,672.0,86.0,50.0,True,"['Computer Science', 'Mathematics', 'Physics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Physics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,90.0,1.0,How to prepare your task head for finetuning6,59.0,59.0,arxiv,ICLR,vanilla_1,1,How to prepare your task head for finetuning6vanilla_1
The Unsurprising Effectiveness of Pre-Trained Vision Models for Control,ICML,13,"Gu, S., Lillicrap, T., Sutskever, I., Levine, S.",4.0,Continuous deep Q-learning with model-based acceleration,2016.0,International Conference on Machine Learning,d358d41c69450b171327ebd99462b6afef687269,Continuous Deep Q-Learning with Model-based Acceleration,International Conference on Machine Learning,International Conference on Machine Learning,2016.0,"S. Gu, T. Lillicrap, Ilya Sutskever, S. Levine",4.0,889.0,86.0,41.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,97.0,1.0,The Unsurprising Effectiveness of Pre-Trained Vision Models for Control13,56.0,56.0,ICML,ICML,vanilla_1,0,The Unsurprising Effectiveness of Pre-Trained Vision Models for Control13vanilla_1
Continual Vision-Language Representation Learning with Off-Diagonal Information,ICML,10,"McCloskey, Michael, And Neal J. Cohen.",2.0,Catastrophic Interference In Connectionist Networks: The Sequential Learning Problem.,1989.0,"Psychology of learning and motivation, Vol. 24",c213af6582c0d518a6e8e14217611c733eeb1ef1,Catastrophic Interference in Connectionist Networks: The Sequential Learning Problem,,,1989.0,"M. McCloskey, N. J. Cohen",2.0,3098.0,91.0,15.0,False,"['Computer Science', 'Psychology']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,89.0,1.0,Continual Vision-Language Representation Learning with Off-Diagonal Information10,85.0,84.0,"Psychology of learning and motivation, Vol. 24",,vanilla_1,0,Continual Vision-Language Representation Learning with Off-Diagonal Information10vanilla_1
Curriculum Reinforcement Learning using Optimal Transport via Gradual Domain Adaptation,NeurIPS,4,"Silver, D., Huang, A., Maddison, C. J., Guez, A., Sifre, L., Van Den Driessche, G.,... & Dieleman, S.",8.0,Mastering the game of Go with deep neural networks and tree search,2016.0,Nature,846aedd869a00c09b40f1f1f35673cb22bc87490,Mastering the game of Go with deep neural networks and tree search,Nature,Nature,2016.0,"David Silver, Aja Huang, Chris J. Maddison, A. Guez, L. Sifre, George van den Driessche, Julian Schrittwieser, Ioannis Antonoglou, Vedavyas Panneershelvam, Marc Lanctot, S. Dieleman, Dominik Grewe, John Nham, Nal Kalchbrenner, Ilya Sutskever, T. Lillicrap, M. Leach, K. Kavukcuoglu, T. Graepel, D. Hassabis",20.0,14365.0,507.0,72.0,True,"['Medicine', 'Computer Science']","[{'category': 'Medicine', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,67.0,1.0,Curriculum Reinforcement Learning using Optimal Transport via Gradual Domain Adaptation4,66.0,66.0,Nature,Nature,vanilla_1,1,Curriculum Reinforcement Learning using Optimal Transport via Gradual Domain Adaptation4vanilla_1
